smiles,log_p
COC1=CC=CC=C1[C@@H]1CC(=O)NC2=C1C=C(C)C(C)=C2,4.17
COC1=CC=C2C(=O)C[C@](O)(OC2=C1)C(F)(F)F,2.79
CC(C)(C)C1(C)O[C@@H]([C@@H](O1)C(N)=O)C(N)=O,1.6
CCOC1=CC(=CC(OCC)=C1OCC)C1=NN=C(O1)C1=CC=CO1,3.96
CN(C)C1=CC=C(C=C1)C(=C)C1=CC=C(C=C1)N(C)C,5.3
CC1=CC=C(O1)[C@@H](O)C#CC(O)(C1=CC=CC=C1)C1=CC=CC=C1,3.53
CC(C)(C)C1=CC(CC2=CC=CC=C2)=NN1,4.35
C[C@H]1C[C@@H](CC(C)(C)C1)NC(=S)NCC1=CSC2=CC=CC=C12,6.21
CCNC1=NC(NC(C)C)=NC(OC2=CC=C(OCC)N=N2)=N1,3.14
C1COCCOC2=CC=CC=C2OCCO1,1.81
NC1=C(C#N)[C@H](C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O,2.34
CCOC(=O)CC1=NN2C(SC1)=NN=C2C1=CC=CS1,2.98
FC(F)(F)C1=CC=C(NC(=O)[C@H]2CCC3=CC=CC=C3O2)C=C1,4.5
COCC1=CC(OC(=O)N(C)C)=NC(SCC(=O)C(C)(C)C)=N1,3.33
CC1=C(CCNC(=O)C2=CC=C(C(C)=C2)[N+]([O-])=O)C2=CC=CC=C2N1,4.12
FC1=C([C@@H]2CC(=O)NC3=C2C=C2OCCOC2=C3)C(Cl)=CC=C1,3.96
CSC1=C(C#N)C(=CS1)C1=CC=CS1,3.69
FC(F)(F)C1=CC=CC=C1NC(=O)NC1CCCCC1,4.0
CCN1C(NC[C@@H](O)C2=CC=CC=C2)=NC2=C1C(=O)N(C)C(=O)N2C,3.24
CC1=C(C)N=C2C(N)=NN=C(N)C2=N1,1.14
N#CC1=NC(=NC(=N1)N(C1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,5.38
N#CCC1=NC(=CS1)C1=CC2=C(OCCCO2)C=C1,2.68
CN(C)C(=O)[C@H]1OC(C)(C)O[C@@H]1C(=O)N(C)C,1.49
COC(=O)[C@H]1OC(O[C@H]1C(=O)OC)C1=CC=CC=C1,2.49
CCN(CC)C1=CC=C(C=C2C(=O)C3=CC=CC=C3C2=O)C(OC)=C1,5.05
CC(C)(C)S(=O)(=O)C(=C\NC1=CC=C(OC(F)(F)F)C=C1)\C#N,4.28
CCC[C@@H]1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N,3.3
CC1=C(C=CC=C1OCC1=CC=CC=C1)[N+]([O-])=O,4.41
CC12CCCC(CCC1)(C2)C(N)=O,2.73
CN1C(CC#N)=NN=C1SCC1=C(C)C(C)=C(C)C(C)=C1C,4.14
CCOC1=NC(=NC(=N1)N1CCOCC1)C#N,2.46
CC1=CC(C)=C([C@H]2[C@@H]3CCCC=C3C(C#N)=C(N)C2(C#N)C#N)C(C)=C1,5.48
O=C1[C@@H]2[C@H]3[C@H]4[C@@H]2C2(OCCO2)[C@@H]2[C@H]4C[C@H]3[C@H]12,0.51
FC1=CC=C(C=C1)C(=O)C1CC1,2.61
C[C@]1(OC[C@@H](CN2C=NC=N2)O1)C1=CC=C(Cl)C=C1Cl,3.68
NC1=NC2=NC3=C(SC(N)=N3)C=C2S1,1.56
CC1(C)[C@@H](CC[C@]1(C)C(=O)N1CCOCC1)C(=O)N1CCOCC1,2.46
CC1=NC(=CS1)C1=CC=C(Cl)C=C1,3.65
CN(C)\C=C\C(=O)C1=CC=C(C=C1)C#CC1=CC=CC=C1,4.69
CCCN1C(=O)N(C=C(Br)C1=O)C1=CC=CC=C1C,2.82
