smiles,log_p,C,O,N,F,Cl,benzene,NH2,unbrch_alkane,Al_COO,Al_OH_noTert,Al_OH,C_O,NH0,ether,NH1
O=c1ccccc(O)c1,0.81,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(CO)cc1,1.58,8,1,0,0,0,1,0,0,0,1,1,0,0,0,0
O=C(O)COc1cccc(S(F)(F)(F)(F)F)c1,2.78,8,3,0,5,0,1,0,0,1,0,0,1,0,1,0
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.78,14,3,2,0,0,0,0,4,0,0,0,3,0,0,2
OC(CN1C2CCCCC21)Cn1ccnc1,1.07,12,1,3,0,0,0,0,0,0,1,1,0,3,0,0
CC(C(O)c1ccccc1)N(C)C,1.7,11,1,1,0,0,1,0,0,0,1,1,0,1,0,0
NNC(=O)c1ccnc(N)c1,-0.98,6,1,4,0,0,0,2,0,0,0,0,1,1,0,1
CC(C)Br,2.14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSSC,1.77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(F)(F)F)NS2(=O)=O,0.49,8,4,3,3,1,1,1,0,0,0,0,0,0,0,2
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,7.44,12,0,0,0,6,2,0,0,0,0,0,0,0,0,0
FC(F)(F)c1cccc2cccnc12,2.5,10,0,1,3,0,1,0,0,0,0,0,0,1,0,0
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CS2,2.97,16,3,0,0,0,2,0,0,1,0,0,2,0,0,0
Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,7.37,12,0,0,0,6,2,0,0,0,0,0,0,0,0,0
CC(C)(C)NCC(COc1nsnc1N1CCOCC1)OC(=O)C1CC1,3.54,17,4,4,0,0,0,0,0,0,0,0,1,3,3,1
COc1ccc(C(=O)NN=Cc2c(CO)ccc(C)c2O)cc1,3.34,17,4,2,0,0,2,0,0,0,1,1,1,1,1,1
NC(=O)CCOc1ccccc1,0.8,9,2,1,0,0,1,1,0,0,0,0,1,0,1,0
Cn1c([N+](=O)[O-])cnc1-c1nc2ccccc2n1CCCN1CCOCC1,1.8,18,3,6,0,0,1,0,0,0,0,0,0,6,1,0
CC(C)C(=O)OCC1CCC(n2cnc3c(=O)[nH]cnc32)O1,0.02,14,4,4,0,0,0,0,0,0,0,0,1,3,2,1
CCCCCCCCCCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,6.2,17,4,3,0,0,0,0,7,0,0,0,2,3,1,0
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)C=CC(C)=CC1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1.63,46,17,1,0,0,0,0,0,0,4,5,3,1,9,0
Clc1cc(Cl)c2oc3cc(Cl)c(Cl)cc3c2c1,6.73,12,1,0,0,4,2,0,0,0,0,0,0,0,0,0
CC(C)C(=O)NCCNCC(O)COCC=Cc1ccccc1,0.51,18,3,2,0,0,1,0,3,0,1,1,1,0,1,2
O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,2.96,18,1,2,0,2,2,0,0,0,0,0,1,1,0,1
C=CC(C)(CCC=C(C)C)OC(C)=O,3.93,12,2,0,0,0,0,0,0,0,0,0,1,0,1,0
CCCCC(N)Cc1ccccc1,3.36,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0
C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,-2.42,17,8,3,0,0,1,0,0,0,5,5,3,0,0,3
CC(=O)C=Cc1ccc(N(C)C)cc1,2.66,12,1,1,0,0,1,0,0,0,0,0,1,1,0,0
