cid,smiles
4,CC(CN)O
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
11,C(CCl)Cl
13,C1=CC(=C(C=C1Cl)Cl)Cl
19,C1=CC(=C(C(=C1)O)O)C(=O)O
33,C(C=O)Cl
34,C(CCl)O
66,C1=CC(=C(C=C1Cl)O)Cl
72,C1=CC(=C(C=C1C(=O)O)O)O
79,C1=CC(=CN=C1)C#N
101,C1=CC(=CC(=C1)O)C=O
102,C1=CC(=CC(=C1)O)CO
107,C1=CC=C(C=C1)CCC(=O)O
119,C(CC(=O)O)CN
125,C1=CC(=CC=C1CO)O
126,C1=CC(=CC=C1C=O)O
127,C1=CC(=CC=C1CC(=O)O)O
135,C1=CC(=CC=C1C(=O)O)O
137,C(CC(=O)O)C(=O)CN
138,C(CCN)CC(=O)O
144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
174,C(CO)O
176,CC(=O)O
177,CC=O
178,CC(=O)N
179,CC(C(=O)C)O
180,CC(=O)C
190,C1=NC2=NC=NC(=C2N1)N
191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
196,C(CCC(=O)O)CC(=O)O
204,C1(C(=O)NC(=O)N1)NC(=O)N
220,CCOP(=S)(OCC)OC1=CC=C(C=C1)N
222,N
227,C1=CC=C(C(=C1)C(=O)O)N
237,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
239,C(CN)C(=O)O
240,C1=CC=C(C=C1)C=O
241,C1=CC=CC=C1
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
247,C[N+](C)(C)CC(=O)[O-]
258,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
261,CCCC=O
262,CC(C(C)O)O
263,CCCCO
264,CCCC(=O)O
273,C(CCN)CCN
275,C(CON=C(N)N)C(C(=O)O)N
280,C(=O)=O
281,[C-]#[O+]
284,C(=O)O
289,C1=CC=C(C(=C1)O)O
297,C
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
300,C(C(=O)O)Cl
301,C1=CC(=C(C=C1O)Cl)O
307,C1=CC=C(C=C1)C=CC=O
308,C1=CC=C(C=C1)C=CCO
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
313,Cl
323,C1=CC=C2C(=C1)C=CC(=O)O2
335,CC1=CC=CC=C1O
338,C1=CC=C(C(=C1)C(=O)O)O
342,CC1=CC(=CC=C1)O
346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
356,CCCCCCCC
359,C1=C(C=C(C=C1O)O)O
370,C1=C(C=C(C(=C1O)O)O)C(=O)O
379,CCCCCCCC(=O)O
385,C(CCC(=O)O)CCC(=O)O
