smiles,log_p
CC(CN)O,0.96
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,2.17
C(CCl)Cl,1.48
C1=CC(=C(C=C1Cl)Cl)Cl,4.02
C1=CC(=C(C(=C1)O)O)C(=O)O,1.2
C(C=O)Cl,0.09
C(CCl)O,0.03
C1=CC(=C(C=C1Cl)O)Cl,3.06
C1=CC(=C(C=C1C(=O)O)O)O,0.86
C1=CC(=CN=C1)C#N,0.36
C1=CC(=CC(=C1)O)C=O,1.29
C1=CC(=CC(=C1)O)CO,0.49
C1=CC=C(C=C1)CCC(=O)O,1.84
C(CC(=O)O)CN,3.17
C1=CC(=CC=C1CO)O,0.25
C1=CC(=CC=C1C=O)O,1.35
C1=CC(=CC=C1CC(=O)O)O,0.75
C1=CC(=CC=C1C(=O)O)O,1.58
C(CC(=O)O)C(=O)CN,-1.5
C(CCN)CC(=O)O,2.63
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,1.7
C(CO)O,1.36
CC(=O)O,-0.17
CC=O,0.34
CC(=O)N,-1.26
CC(C(=O)C)O,0.36
CC(=O)C,0.24
C1=NC2=NC=NC(=C2N1)N,-0.09
C(CCC(=O)O)CC(=O)O,0.08
C1(C(=O)NC(=O)N1)NC(=O)N,3.14
CCOP(=S)(OCC)OC1=CC=C(C=C1)N,2.6
N,2.66
C1=CC=C(C(=C1)C(=O)O)N,1.21
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,5.5
C(CN)C(=O)O,-3.05
C1=CC=C(C=C1)C=O,1.48
C1=CC=CC=C1,2.13
C1=CC=C(C=C1)C(=O)O,1.87
C1=CC=C(C=C1)CO,1.1
C[N+](C)(C)CC(=O)[O-],4.9
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,4.7
CCCC=O,0.88
CC(C(C)O)O,0.92
CCCCO,0.88
CCCC(=O)O,0.79
C(CCN)CCN,0.16
C(CON=C(N)N)C(C(=O)O)N,4.26
C(=O)=O,0.83
[C-]#[O+],0.83
C(=O)O,-0.54
C1=CC=C(C(=C1)O)O,0.88
C,1.09
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,5.41
C(C(=O)O)Cl,0.22
C1=CC(=C(C=C1O)Cl)O,1.4
C1=CC=C(C=C1)C=CC=O,1.9
C1=CC=C(C=C1)C=CCO,1.95
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-1.64
Cl,0.25
C1=CC=C2C(=C1)C=CC(=O)O2,1.39
CC1=CC=CC=C1O,1.95
C1=CC=C(C(=C1)C(=O)O)O,2.26
CC1=CC(=CC=C1)O,1.96
C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,1.35
CCCCCCCC,5.18
C1=C(C=C(C=C1O)O)O,0.16
C1=C(C=C(C(=C1O)O)O)C(=O)O,0.7
CCCCCCCC(=O)O,3.05
C(CCC(=O)O)CCC(=O)O,0.61
C1=CC=C2C(=C1)C(=CN2)CC(=O)N,0.75
CC(C)[N+](=O)[O-],0.93
C1=CC(=CC=C1N)O,0.04
CN1C(CCC1=O)C2=CN=CC=C2,0.07
C[N+]1(CCCC1C2=CN=CC=C2)[O-],1.17
C1CC(NC1)C2=CN=CC=C2,0.17
CN1C(CC(C1=O)O)C2=CN=CC=C2,1.45
C(CN)CN,1.43
CNC(=O)CCC(=O)C1=CN=CC=C1,0.69
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,3.6
C1=CC(=CC(=C1)Cl)C(=O)O,2.68
CC(CCO)(CC(=O)O)O,0.58
CCCCCCCC=O,3.5
COC1=CC=CC=C1O,1.32
C1=CC=C(C=C1)C(=O)NCC(=O)O,0.31
C(CN)C(C(=O)O)N,4.64
C(C(C(=O)O)O)C(=O)O,1.26
CCC=O,0.59
C1CC1(C(=O)O)N,-2.78
C1=CC(=CC=C1C=O)[N+](=O)[O-],1.56
C1=CC(=C(C=C1CC(=O)O)O)O,0.98
C(CCC(=O)O)CCN,-2.95
C1=CC=C2C(=C1)C3=CC=CC=C3O2,4.12
CN(CC(=O)O)C(=N)N,-0.2
CN1CC(=O)N=C1N,1.76
C(C(C(=O)O)N)SSCC(C(=O)O)N,5.08
C1=C(NC(=O)N=C1)N,1.73
CC(C(=O)O)N,2.85
CC(C(=O)O)O,-0.72
CC(=O)C(=O)C,1.34
C(C(=O)CO)O,1.95
CN(C)CC(=O)O,-2.91
CNC,0.38
CC1=CC2=C(C=C1C)N=CN2,2.35
CS(=O)C,-1.35
C1=CC(=C(C=C1CCN)O)O,-0.98
C(CO)N,-1.31
CCO,-0.31
C=O,0.35
C(=O)N,1.51
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,3.72
C(CC(=O)O)CC(=O)O,-0.29
C(C(=O)O)N,-3.21
C(C(CO)O)O,1.76
C(C(=O)O)O,-1.11
C(=O)C(=O)O,0.07
C#N,0.25
C1=C(NC=N1)CCN,0.7
C1=CC(=C(C=C1O)CC(=O)O)O,0.86
C(#N)S,0.58
OO,1.36
C1=CC(=CC=C1O)O,0.59
NO,1.5
C1=NC2=C(N1)C(=O)N=CN2,1.11
CCC(C)C(C(=O)O)N,1.7
