smiles,log_p
O=C(NS(C1=CC=CC=C1)(=O)=O)CCC2=CC=CC=C2,2.67
O=S(CCC1=CC=CC=C1)(NC(C)=O)=O,1.04
O=S(CCC1=CC=CC=C1)(NC2(C)COC2)=O,1.56
O=S(CC1(NC(C)=O)CCC2=CC=CC=C2)(C1)=O,1.18
CS(NC1(COC1)CCC2=CC=CC=C2)(=O)=O,1.61
O=S(NC1(COC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,2.76
O=S(NC1(COC1)CCC2=CC=CC=C2)(N(C)C)=O,1.96
CS(NC1(CSC1)CCC2=CC=CC=C2)(=O)=O,2.44
O=S(NC1(CSC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,2.96
O=S(NC1(CSC1)CCC2=CC=CC=C2)(N(C)C)=O,2.83
CS(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(=O)=O,0.88
O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,0.76
O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(N(C)C)=O,1.45
CS(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(=O)=O,1.03
O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,1.89
O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(N(C)C)=O,1.83
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C)=O,1.97
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C3=CC=CC=C3)=O,1.76
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(N(C)C)=O,2.51
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C)=O,1.16
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C3=CC=CC=C3)=O,2.55
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(N(C)C)=O,1.72
