smiles,log_p
[H]C1=C([H])N(C([H])=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1.6
OC(=O)COC1=C(Cl)C=C(Cl)C=C1,2.78
NC1=CC=CC=C1C(O)=O,1.26
OC1=CC(Cl)=C(Cl)C=C1,3.39
OC1=CC(Cl)=CC(Cl)=C1,3.63
NC1=CC(=CC=C1)C(O)=O,0.34
BrC1=CC2=CC=CC=C2N=C1,2.91
OC1=CC(Cl)=CC=C1,2.57
NC1=CC=C(C=C1)C(O)=O,0.86
CCCCOC1=CC=C(O)C=C1,2.87
OC1=CC=C(Cl)C=C1,2.45
CCOC1=CC=C(O)C=C1,1.81
OC1=CC=C(I)C=C1,2.9
COC1=CC=C(O)C=C1,1.41
Cc1cc(=O)oc2cc(O[C@@H]3O[C@H]([C@@H](O)[C@@H](O)[C@H]3O)C(O)=O)ccc12,-0.39
CCCCCOC1=CC=C(O)C=C1,3.26
NCCCCC1=CC=CC=C1,2.39
CCCOC1=CC=C(O)C=C1,2.31
OC(=O)CCCCC1=CC=CC=C1,2.92
CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@H]4OC(C)=O)=C35,1.55
CCCC(=O)NC1=CC=C(OC[C@H](O)CNC(C)C)C(=C1)C(C)=O,2.02
CC(=O)NC1=CC=C(O)C=C1,0.34
CC(O)=O,-0.3
CC(=O)C1=CC=CC=C1,1.58
CC(=O)OC1=CC=CC=C1C(O)=O,0.9
NC1=NC2=C(N=CN2COCCO)C(=O)N1,-1.8
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,2.16
OC1=C2C=NNC2=NC=N1,-0.55
CC(C)NC[C@@H](O)COC1=CC=CC=C1CC=C,2.99
NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,-0.26
CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,0.85
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,7.8
CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,4.62
[H]N([H])C1=NC([H])=NN1[H],-0.97
CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=CC=CC=C1Cl)C(=O)OC,3.74
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.01
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.56
OC[C@H](O)[C@@H]1OC(=O)C(O)=C1O,-1.85
[H]N(C1=NC2=C([H])C([H])=C([H])C([H])=C2N1C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])C1([H])[H],4.35
CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1,0.22
CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)[C@H](CO)C1=CC=CC=C1,1.89
CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@@H](C)[C@@H](O)[C@]1(C)O,3.87
CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,2.83
CCOC(=O)C1=CC=C(N)C=C1,1.89
OC(=O)C1=CC=CC=C1,1.96
C1=CN(C=N1)[C@H](C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,4.77
CC(C)NC[C@H](O)COC1=CC=C(COCCOC(C)C)C=C1,2.15
BrC1=CC=C2NC(=O)CN=C(C3=CC=CC=N3)C2=C1,1.65
CC(C)C[C@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@H]4CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,4.2
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,4.06
CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,3.45
CO[C@@]12CC[C@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@@H]1CC4=CC=C(O)C5=C4[C@]3(CCN1CC1CC1)[C@@H]2O5,4.82
C[C@H](NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,3.21
