smiles,log_p
CC(=O)Nc1ccc(C(N)=O)cc1,0.27
Cc1cccc(C)c1OCC(C)N,2.17
O=C(Nc1ccc(Cl)cc1Cl)c2ccccc2O,4.76
CCc1nc(c2ccc(C(C)C(=O)O)cc2)sc1C,4.04
CCC(C)=O,0.41
CC1=CC=C(C(C)C)CC1,4.51
CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c2ccc(OC)cc2,2.57
O=C1NC(=O)N(Cc2ccccc2)CC1F,0.84
CCCc1ccccc1C,4.41
CN(C)CCCNC(=O)c1ccccc1,1.35
CN1CCOC(O)(c2cccc(C(F)(F)F)c2)C1,1.56
NC(=O)Nc1ccc(F)cc1,1.13
NC1NCN(C2OC(CO)C(O)C2O)C(=O)N1,-2.58
CC(C)C(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,3.18
NC(=O)c1ccc2[nH]ccc2c1,1.10
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(OC(=O)CCCC(=O)OC4C5C(=C)C(=O)OC5CC(C)C6C=CC(=O)C46C)C12,1.85
COc1ccc(OCC2CN=C(N)O2)cc1,1.14
C=CC(=O)OCCCOC(=O)C=C,1.07
CCCC(O)C(=O)O,0.26
O=C(O)c1cccc(Cl)c1,2.24
O=C(CNC(=O)c1ccccc1)Oc2cccc(Cl)c2,3.04
Clc1cc2ccccc2cc1Cl,4.58
Clc1ccc(Cl)c(c2cc(Cl)c(Cl)cc2Cl)c1,6.77
CCCCN1C(=O)NC(=O)c2[nH]cnc12,0.75
CC(C)NC1NC(=O)N(C(C)C)C(=O)N1C,0.02
NS(=O)(=O)c1nc2ccc(Cl)cc2s1,1.96
Clc1cc(Cl)cc(O[Si]23OCCN(CCO2)CCO3)c1,2.87
COc1cccc(N(=O)=O)c1C,2.30
CCC(C)Nc1nc(N)nc(Cl)n1,2.06
FC(F)(F)CN(CC(F)(F)F)c1ccccc1,3.82
COc1ccccc1N,0.93
CC(CCCON(=O)=O)ON(=O)=O,1.78
CC(=O)c1ccc(N2CCCCC2)cc1,3.10
Cc1cccc(N(=O)=NC#N)c1,2.22
Cc1ccccc1Nc2ccncc2S(=O)(=O)NC(=NC#N)NC(C)C,2.57
CS(=O)(=O)c1cnc2ccccc2n1,0.70
CC(=O)OCCCOC(=O)C(C)c1cccc(C(=O)c2ccccc2)c1,3.55
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,1.39
O=NN1CCCCCCC1,1.50
Clc1cc2oc3c(Cl)c(Cl)ccc3c2cc1Cl,6.23
Cc1cc3c(cc1Cc2cnc(N)nc2N)OCO3,1.56
OCC1CC(F)C(n2cnc3c(Br)ncnc23)O1,0.48
CCOC(=O)c1ccc(N=NN(C)C(=O)OCOC(C)=O)cc1,2.75
CCCCC(=O)CCCC,3.10
NC1CCN(C2OC3COC2C3O)C(=O)N1,-2.17
C#CCC(O)(CC#C)c1cccnc1,1.26
CC(C)(C)N(=O)=Cc1cccc(N(=O)=O)c1,1.52
CC(C)N(C)N=Nc1ccc(C(N)=O)cc1,2.28
CC(C)NCC(O)COc1cccc2[nH]ccc12,2.17
COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O,4.17
CNC(=O)c1cccc(Oc2ccccc2)c1,2.71
COC1CC(OC2CCC3(C)C(CCC5C3CCC4(C)C(C6=CC(=O)OC6)C(OC(C)=O)CC45OC(C)=O)C2)OC(C)C1O,3.33
Cc1cccc(Cl)c1Nc2ccccc2CC(=O)O,4.59
CN(C)C(=O)OCc1ccc(OC(=O)N(C)C)cc1,1.13
N#Cc1cccc(Cn2cnc3ccccc23)c1,2.82
CC(=O)Nc1ccncc1,0.31
CC(O)CN,-1.03
CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1,3.67
Oc1c(I)cc(I)cc1I,3.94
COc1ccccc1N2CC(C(=O)O)C(=O)c3cc(F)c(N4CCNCC4)cc23,0.77
Nc1ccc3c4c(cccc14)c2ccccc23,4.03
CCC(C)NC(=O)C(=Cc1ccccc1)SC,3.01
CC(C)(C)N(=O)=Cc1ccn(=O)cc1,-0.20
O=C1c2c(O)cc(O)cc2OC(c3ccc(O)c(O)c3)C1O,1.07
COc1cccc4c1C(=O)c2c(O)c5c(c(O)c2C4=O)CC(O)(C(C)=O)CC5OC3CC(N(CC#N)CC(=O)O)C(O)C(C)O3,1.84
Cc1nonc1C,0.78
COCC(Cn1ccnc1N(=O)=O)OC(C)=O,0.06
CCCCCCCCCCCC(C)c1ccccc1,8.57
O=C(CCl)Nc1ccc2nn(C3CCCC3)nc2c1,2.90
CCOC(=O)C(=Cc1ccccc1)C(C)=O,2.38
Cc1ccc(C=NO)cc1,2.13
CCCCNCc1ccc(C)cc1,2.95
COc1cc(OC)cc(C2C(=O)c3ccccc3C2=O)c1,2.83
NC(=O)CCCCc1cccnc1,0.37
CC(C)C(=O)C(C)C,1.91
COc1ccccc1C=O,1.59
CCC(=O)C(CS(=O)(=O)c1ccccc1)c2ccccc2,2.35
Cc1ccc(O)c(O)c1,1.02
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)O,-0.38
O=C(O)COc1ccc2ccccc2c1,2.73
CCC(=O)OCOC(=O)C1CN(CC)c2nc(C)ccc2C1=O,2.06
CCOC(=O)OCN1C(=O)NCC(F)C1=O,-0.26
O=P(O)(O)c1ccccc1,0.22
CCOC(=O)CCCCC(=O)O,1.12
Nc1ncnc3c1ncn3C2C=CC(CO)O2,-0.39
CCC(CNC)c1ccccc1,2.89
NS(=O)(=O)c1cccc(OC(=O)CNC(=O)c2ccccc2)c1,1.58
O=C(O)COc1ccccc1c2ccccc2,3.14
